Country or Area,Year,Value
Australia,2020,528149.4564
Australia,2019,546606.6243
Australia,2018,552484.0247
Australia,2017,550874.8679
Australia,2016,543976.8123
Australia,2015,534936.017
Australia,2014,526711.78
Australia,2013,532267.3349
Australia,2012,541899.7403
Australia,2011,538663.8778
Australia,2010,536893.7378
Australia,2009,541475.7925
Australia,2008,538590.7141
Australia,2007,535807.5516
Australia,2006,529240.6412
Australia,2005,524811.8453
Australia,2004,518408.4377
Australia,2003,501128.9763
Australia,2002,501000.8427
Australia,2001,497352.0254
Australia,2000,489528.6493
Australia,1999,478136.8747
Australia,1998,472145.8318
Australia,1997,457864.5104
Australia,1996,445847.2253
Australia,1995,439269.8779
Australia,1994,430848.498
Australia,1993,430381.7307
Australia,1992,429473.0847
Australia,1991,425686.445
Australia,1990,425624.307
Austria,2021,77532.35118
Austria,2020,73910.84268
Austria,2019,79994.13764
Austria,2018,78854.37492
Austria,2017,82132.49226
Austria,2016,79821.26397
Austria,2015,78884.46456
Austria,2014,76662.66179
Austria,2013,80228.51783
Austria,2012,79788.32472
Austria,2011,82505.75617
Austria,2010,84693.29256
Austria,2009,80137.03146
Austria,2008,86770.81867
Austria,2007,87377.95091
Austria,2006,90158.66685
Austria,2005,92588.57965
Austria,2004,91427.89605
Austria,2003,91636.30336
Austria,2002,86267.53847
Austria,2001,84514.04729
Austria,2000,80619.36186
Austria,1999,80455.15026
Austria,1998,82012.9004
Austria,1997,82719.62709
Austria,1996,83112.9272
Austria,1995,79953.23792
Austria,1994,76725.96656
Austria,1993,76517.86402
Austria,1992,76142.80907
Austria,1991,82711.15641
Austria,1990,79047.23176
Belarus,2021,91988.20169
Belarus,2020,89940.27706
Belarus,2019,92291.63298
Belarus,2018,92202.40645
Belarus,2017,89247.59588
Belarus,2016,87563.30418
Belarus,2015,88307.45566
Belarus,2014,93371.44421
Belarus,2013,94456.4108
Belarus,2012,92432.60746
Belarus,2011,91314.46779
Belarus,2010,91884.2687
Belarus,2009,89716.10568
Belarus,2008,91672.81971
Belarus,2007,88250.97258
Belarus,2006,89856.61832
Belarus,2005,86538.40302
Belarus,2004,84545.80115
Belarus,2003,80871.07543
Belarus,2002,79125.27577
Belarus,2001,79825.85801
Belarus,2000,81145.92132
Belarus,1999,84261.44507
Belarus,1998,87757.92801
Belarus,1997,89022.0973
Belarus,1996,88760.16152
Belarus,1995,87955.98689
Belarus,1994,96343.44812
Belarus,1993,112296.4335
Belarus,1992,126031.217
Belarus,1991,139713.4433
Belarus,1990,145339.8857
Belgium,2021,110951.7313
Belgium,2020,107272.6541
Belgium,2019,116463.7106
Belgium,2018,117584.9158
Belgium,2017,116909.2363
Belgium,2016,117419.5656
Belgium,2015,118990.3805
Belgium,2014,114878.8467
Belgium,2013,120523.7155
Belgium,2012,120443.6133
Belgium,2011,123192.9913
Belgium,2010,133644.2971
Belgium,2009,126438.5196
Belgium,2008,139030.907
Belgium,2007,139090.7908
Belgium,2006,142715.6018
Belgium,2005,145418.3464
Belgium,2004,148523.9236
Belgium,2003,147731.4875
Belgium,2002,147415.0718
Belgium,2001,147319.0769
Belgium,2000,148877.3282
Belgium,1999,147732.8211
Belgium,1998,154012.885
Belgium,1997,148820.6733
Belgium,1996,157227.9539
Belgium,1995,153579.8245
Belgium,1994,151445.446
